"Skill Text";"Skill ID"
byuralshammer;2217
dodgethis;2354
donttrip;2216
finishhim;2353
iamthestrongest;2355
iamunstoppable;2356
kilroystonekin;856
mmmmsnowcone;1010
touchofaaaaarrrrrrggghhh;1894
victoryisours;3511
victoryordeath;569
youareallweaklings;2359
youmovelikeadwarf;2358
atouchofguile;2357
abaddonschosen;1457
abaddonsfavor;1456
afflictedsoulexplosion;1176
agnarsrage;531
airofsuperiority;2416
alkarsalchemicalacid;2211
amuletofprotection;3501
animateundead;2259
aspectofoak;2174
asuranscan;2415
auraofthejuggernaut;1156
avalancheskill;1001
avatarofgrenthpvp;3523
banishenchantment;1885
basedefense;1147
battlescars;1274
berserk;2078
bitgolembreaker;2911
bitgolemcrash;2913
bitgolemforce;2914
bitgolemrectifier;2912
blackpowdermine;2223
blessingofthekirin;1153
blindingbreath;1863
bloodofzuheltzer;1175
bloodstoneslash;2158
brawlingheadbutt;2215
breakingcharm;514
breathofthegreatdwarf;2221
brutalmauling;511
burningbreath;1864
callofdestruction;2344
callofsacrifice;1459
calltothetorment;1454
chaoticpowerdeactivatingrox;3502
chargingspirit;2134
charmanimalmonsterskill;3519
chimeraofintensity;596
chokingbreath;1861
claimresource;516
clubofathousandbears;2361
consumetorment;1884
consumingflames;874
corsairsnet;1433
countdown;2910
cripplingattack;512
crystalbonds;534
crystalhaze;533
crystalshield;2328
crystalsnare;2329
decipherinscriptions;2426
deftstrike;2228
demonicagility;1152
diamondshardmist;2167
distractinglunge;1923
dormanthusk;2497
drunkenmaster;2218
duncansdefense;2527
dwarvenstability;2423
earbite;2213
earthshatteringblow;1705
earthvortex;1461
easternhealthshrinebonus;3503
ebonbattlestandardofcourage;2231
ebonbattlestandardofhonor;2233
ebonbattlestandardofwisdom;2232
ebonescape;2420
ebonvanguardassassinsupport;2235
ebonvanguardsnipersupport;2234
edification;2372
ehzahfromabove;1447
empty;0
enchantmentcollapse;1458
enraged;1893
expertsdexteritypvp;3524
explodingspores;1308
extractinscription;2409
fearme;3513
feedingfrenzyskill;1419
feelnopain;2360
fingersofchaos;1270
firebomb;2118
flamecall;1940
fleshreaversescape;2079
forestsbinding;1307
frostvortex;1462
fungalexplosion;2488
gelatinousabsorption;2243
giantstompturaiossa;2677
giantstomp;530
golemstrike;2157
greatdwarfarmor;2220
greatdwarfweapon;2219
guardianpacify;543
hardenshell;1919
heartofthenorn;2373
hiddenrock;1008
hungerofthelich;539
iwillavengeyou;3514
iwillsurvive;3515
icebreaker;1013
icefort;1006
impossibleodds;1273
jadothsstormofjudgment;1897
juggernauttoss;1155
junundubite;1862
junundufeast;1438
junundusiege;1441
junundusmash;1440
junundustrike;1439
junundutunnel;1442
jununduwail;1865
kournansiege;1855
leavejunundu;1443
lightofdeldrimor;2212
lightofseborhin;3525
lightbringer;1813
lightbringersignet;1815
lightbringersgaze;1814
littorch;2545
lowblow;2214
mandragorscharge;2083
masterofnecromancy;2258
meditationofthereaper;1276
megasnowball;1003
mendingshrinebonus;3504
mentalblock;2417
mindbender;2411
monsterdoesntgetdeathpenalty;3505
murakaiscalamity;2370
murakaiscall;2391
murakaisconsumption;2368
noxbeam;2907
noxdividerdrive;2922
noxdriver;2919
noxfielddash;2908
noxfire;2920
noxknuckle;2921
noxlockon;2918
noxphantom;2916
noxthunder;2917
noxionbuster;2909
nibble;525
oathofprotection;3506
orderofthelich;2257
orderofunholyvigor;2256
paininverter;2418
paranoidindignation;2330
polymockbanesignet;2276
polymockblock;2249
polymockcalculatedrisk;2284
polymockdeathlychill;2260
polymockearthquake;2279
polymockethersignet;2251
polymockfireball;2282
polymockflare;2266
polymockfrozenarmor;2280
polymockglyphdestabilization;2254
polymockglyphfreeze;2281
polymockglyphofconcentration;2250
polymockglyphofpower;2252
polymockicespear;2269
polymockicyprison;2270
polymockimmolate;2267
polymocklightningdjinnshaste;2265
polymocklightningorb;2264
polymocklightningstrike;2263
polymockmeteor;2268
polymockmindfreeze;2271
polymockmindwreck;2255
polymockobsidianflame;2278
polymockoverload;2253
polymockpowerdrain;2248
polymockrecurringinsecurity;2285
polymockrisingbile;2261
polymockrodgortsinvocation;2283
polymockrottingflesh;2262
polymocksmite;2274
polymocksmitehex;2275
polymockstonedaggers;2277
queenarmor;1618
quicksandenvironmenteffect;496
radiationfield;2414
ram;1918
ravenblessing;2384
reactorblast;2902
reactorblasttimer;2903
rebelyell;2427
reformcarvings;1715
resurrectionsignet;2
ripostingshadows;1275
rollerbeetleblast;1924
rollerbeetledash;1920
rollerbeetleecho;1922
sharedburdengwen;3500
shatteredspirit;2124
shieldingurnskill;3521
shrinebacklash;3507
siegeturtleattacktheeternalgrove;1186
signetofcapture;3
signetofghostlymightpvp;3526
signetofinfection;2229
signetofspiritspvp;3522
skinofstone;3527
smoothcriminal;2412
snaringweb;2086
sneakattack;2116
snowdowntheshirt;1009
snowstorm;2222
songofthemists;1151
soulrendingshriek;2502
spectralagony;546
spiritroar;2125
spiritsenses;2126
spiritworldretreat;2122
spitrocks;1925
splintermineflamegeyser;3516
sporeexplosion;2496
stormcallerskill;589
stouthearted;2424
strengthoftheoakdeactivatingrox;3508
stunoncriticalhit;3509
summoniceimp;2226
summonmursaat;2224
summonnagashaman;2227
summonrubydjinn;2225
summoningshadows;1886
summoningsickness;2886
sunspearrebirthsignet;1816
superrollerbeetle;1921
targetacquisition;2906
technobabble;2413
theapocryphaischangingtoanotherform;3528
themastersmark;2514
thesnipersspear;2515
tothelimit;3517
tormentslashsmotheringtendrils;1880
totemofman;2389
trample;2088
tryptophansignet;2230
turtleshell;1172
twistingjaws;2081
unseenaggression;2127
untouchable;3510
unyieldinganguish;1896
ursanblessing;2374
vialofpurifiedwater;1417
victoryismine;3518
volfenagility;2383
volfenblessingcurseofthenornbear;2133
volfenblessing;2379
volfenbloodlust;2382
volfenclaw;2380
volfenpounce;2381
wanderingmind;3529
weaknesstrap;2421
westernhealthshrinebonus;3512
wildsmash;1895
winds;2422
wurmbile;2089
wurmsiegeeyeofthenorth;3520
coward;869
forgreatjustice;343
letsgetem;1014
onyourknees;906
saveyourselves;1954
youreallalone;1412
distractingblow;325
distractingstrike;2194
flurry;344
frenzieddefense;1700
frenzy;346
grapple;2011
silverwingslash;1144
skullcrack;329
stormofswords;1140
symbolicstrike;2195
whirlwindattack;2107
wildblow;321
agonizingchop;1403
axerake;334
axetwist;342
cleave;335
criticalchop;1402
cycloneaxe;330
decapitate;1696
dismember;337
disruptingchop;340
eviscerate;338
executionersstrike;336
furiousaxe;904
keenchop;2009
laceratingchop;849
penetratingblow;339
penetratingchop;1136
swiftchop;341
triplechop;992
whirlingaxe;888
auspiciousblow;905
backbreaker;358
bellysmash;350
counterblow;357
crudeswing;353
crushingblow;352
devastatinghammer;355
earthshaker;354
enragedsmash;993
fierceblow;850
forcefulblow;889
hammerbash;331
heavyblow;359
irresistibleblow;356
magehunterssmash;1697
mightyblow;351
mokelesmash;1409
overbearingsmash;1410
pulverizingsmash;2008
renewingsmash;994
staggeringblow;360
yetismash;1137
barbarousslice;1416
cripplingslash;1415
dragonslash;907
finalthrust;385
galrathslash;383
gash;384
hamstring;320
hundredblades;381
jaizhenjustrike;1135
