"Skill ID";Profession;Elite;Name;Description;Type;"Type Code";Chapter;Attribute;"Attribute Code";Sacrifice;Exhaustion;"Energy regen";Energy;Adrenaline;Casting;Recharge
2217;"No profession";0;"""By Ural's Hammer!""";"Shout. For 7..10 seconds, you have +2 Health regeneration and do 25% more damage. This lasts .. more seconds for each ally within earshot who is under 50% Health.";Shout;sh;"Eye of the North";"Deldrimor rank";del;;;;5;;;60
2354;"No profession";0;"""Dodge This!""";"Shout. For 16..20 seconds, your next attack cannot be blocked and does +14..20 damage.";Shout;sh;"Eye of the North";"Norn rank";nor;;;;;4;;
2216;"No profession";0;"""Don't Trip!""";"Shout. For 3..5 seconds, party members within earshot cannot be knocked down.";Shout;sh;"Eye of the North";"Deldrimor rank";del;;;;10;;;20
2353;"No profession";0;"""Finish Him!""";"Shout. If target foe has less than 50% Health, that foe takes 44..80 damage and suffers from Cracked Armor and a Deep Wound for 12..20 seconds.";Shout;sh;"Eye of the North";"Norn rank";nor;;;;10;;;15
2355;"No profession";0;"""I Am The Strongest!""";"Shout. Your next 5..8 attacks do an additional +14..20 damage.";Shout;sh;"Eye of the North";"Norn rank";nor;;;;5;;;20
2356;"No profession";0;"""I Am Unstoppable!""";"Shout. For 16..20 seconds, you have +24 armor and cannot be knocked down or Crippled.";Shout;sh;"Eye of the North";"Norn rank";nor;;;;5;;;30
856;"No profession";0;"""Kilroy Stonekin""";"Shout. Your skills recharge 50% faster, your spells cost 50% less Energy, your movement speed is increased by 50%. When cast, this skill removes all Hexes on allies in the area.";Shout;sh;Prophecies;;;;;;;;;45
1010;"No profession";0;"""Mmmm. Snowcone!""";"Shout. You are healed for 300 Health, and all of your Skills are disabled for 10 seconds.";Shout;sh;Core;;;;;;;;;60
1894;"No profession";0;"""Touch of Aaaaarrrrrrggghhh""";"Skill. Target foe's attributes are set to 0 for 20 seconds, and target foe and another random foe swap positions.";Skill;sk;Nightfall;;;;;;5;;2;60
3511;"No profession";0;"""Victory is Ours!""";"For 90 seconds, you deal 20% more damage.";"Effet de l'environnement";env;Factions;;;;;;;;;
569;"No profession";0;"""Victory or Death!""";"Skill. For 90 seconds, you deal 10% more damage and whenever you are healed, you receive 10% less healing.";Skill;sk;Core;;;;;;5;;0.25;
2359;"No profession";0;"""You Are All Weaklings!""";"Shout. Target foe and foes adjacent to target are Weakened for 5..12 seconds.";Shout;sh;"Eye of the North";"Norn rank";nor;;;;10;;;12
2358;"No profession";0;"""You Move Like a Dwarf!""";"Shout. Target foe is knocked down and takes 44..80 damage. When that foe gets up, it is Crippled for 8..15 seconds.";Shout;sh;"Eye of the North";"Norn rank";nor;;;;10;;;10
2357;"No profession";0;"A Touch of Guile";"Hex Spell. Target touched foe takes 44..80 damage. If target foe was knocked down, that foe cannot attack for 5..8 seconds.";"Hex Spell";he;"Eye of the North";"Norn rank";nor;;;;5;;0.75;15
1457;"No profession";0;"Abaddon's Chosen";"Enchantment Spell. Target cannot lose Health for 10 seconds.";"Enchantment Spell";en;Nightfall;;;;;;;;0.75;90
1456;"No profession";0;"Abaddon's Favor";"Skill. If target ally is enchanted with Abaddon's Chosen, all foes in the area lose 70 Health and target ally gains 70 Health";Skill;sk;Nightfall;;;;;;;;6;4
1176;"No profession";0;"Afflicted Soul Explosion";"When Afflicted creature dies, all nearby foes take damage.";Skill;sk;Factions;;;;;;;;;
531;"No profession";0;"Agnar's Rage";"Attack. (monster only) Knock down all nearby foes and do 25 damage to them. Gain +10 Health regeneration for 5 seconds.";Attack;at;Prophecies;;;;;;10;;6;15
2416;"No profession";0;"Air of Superiority";"Skill. For 20..30 seconds you gain a random Asura benefit every time you earn experience from killing an enemy.";Skill;sk;"Eye of the North";"Asura rank";asu;;;;10;;;30
2211;"No profession";0;"Alkar's Alchemical Acid";"Spell. Throw Alkar's Alchemical Acid at target foe. Target and adjacent foes are struck for 40..50 damage. Destroyers take an additional 45..70 damage and they have Cracked Armor for 14..20 seconds.";Spell;sp;"Eye of the North";"Deldrimor rank";del;;;;10;;1;10
3501;"No profession";0;"Amulet of Protection";"(monster only)";Effect;ef;Core;;;;;;;;;
2259;"No profession";0;"Animate Undead";"Spell. All of Zoldark's minions are resurrected with 100% Health and 50% Energy.";Spell;sp;"Eye of the North";;;5;;;5;;2;12
2106;"No profession";0;"Appel de l'Oeil";"Vous sentez l'appel de l'Oeil du Nord.";Skill;sk;"Eye of the North";;;;;;;;;
2077;"No profession";0;"Armure brisée";"Vous avez -20 d'armure (minimum 60) lorsque vous êtes affecté par cette condition.";Condition;co;Core;;;;;;;;;
2174;"No profession";0;"Aspect of Oak";"Skill. Prevents the next 300 damage this creature would take.";Skill;sk;"Eye of the North";;;;;;5;;;20
2415;"No profession";0;"Asuran Scan";"Hex Spell. For 9..12 seconds your attacks against this foe deal an additional 45..75% damage.";"Hex Spell";he;"Eye of the North";"Asura rank";asu;;;;5;;;5
3530;"No profession";0;"Aura du Sceptre d'Orr";"Vous ressentez le pouvoir du sceptre. (+10 énergie maximum).";Signet;si;Prophecies;;;;;;;;;
1102;"No profession";0;"Aura du Verger";"Vous êtes à l'intérieur de l'aura du verger. Toutes les créatures dans le périmètre de l'aura reçoivent 25% d'augmentation de vitesse.";"Effet de l'environnement";env;Factions;;;;;;;;;
3531;"No profession";0;"Aura instable";"Pendant 0 secondes, si le Golem est affecté par des dégâts élémentaires, toutes ses attaques infligent ce type de dégâts.";Skill;sk;Core;;;;;;;;;30
3532;"No profession";0;"Aura noire";"Pendant 20 minutes, chaque fois que vous réussissez une attaque, vous absorbez 3 points de vie à la cible ennemie.";Bénédiction;be;Factions;;;;;;;;;
1156;"No profession";0;"Aura of the Juggernaut";"Skill. You are inside a Kurzick Juggernaut's aura. All allies within a Kurzick Juggernaut's aura receive +1 Energy regeneration.";Skill;sk;Factions;;;;;;5;;1;30
3533;"No profession";0;Avalanche;"Les créatures prisent dans l'avalanche subissent 100 points de dégâts et sont ralenties de 50% pendant 4 secondes.";"Effet de l'environnement";env;"Eye of the North";;;;;;;;;
1001;"No profession";0;Avalanche;"Skill. Target foe and all nearby foes are Crippled for 10 seconds.";Spell;sp;Core;;;;;;;;0.75;30
1871;"No profession";0;"Avatar de douceur";"Pendant 50 minutes, vous ressemblez à un serviteur de Dépine, le roi dément.";Disguise;de;Core;;;;;;;;;
1899;"No profession";0;"Avatar de la joie des vacances";"Pendant 50 minutes, vous ressemblez à une aide d'Hivernel.";Disguise;de;Core;;;;;;;;;
3523;"No profession";0;"Avatar of Grenth (PvP)";"Elite Form. For 10..90 seconds, you cannot be blocked by enchanted foes, and your attacks deal cold damage. This skill is disabled for 120 seconds.";Bénédiction;be;Factions;;;;;;;;;
479;"No profession";0;Aveuglement;"Quand vous êtes frappé d'aveuglement, vos attaques au corps à corps et à distance ont 90% de risques de manquer leur cible. Vos projectiles ont aussi plus de risques de dévier de leur trajectoire.";Condition;co;Core;;;;;;;;;
3534;"No profession";0;Bagarre;"Vous vous bagarrez et pendant ce temps, votre santé maximum est de 500. Vous ne pouvez utiliser vos compétences de bagarre que vous infliger des dégâts à l'ennemi. Lorsque vous assommez un ennemi, vous obtenez 200 points de vie. Lorsque vous perdez toute votre santé, vous ne mourrez pas mais vous êtes assommé. Pour vous relevez utilisez ""DEBOUT"".";Effect;ef;"Eye of the North";;;;;;;;;
1885;"No profession";0;"Banish Enchantment";"Spell. All enchantments are removed from caster's target foe. For each enchantment removed in this way, one skill is disabled on all foes for 6 seconds.";Spell;sp;Nightfall;;;;;;5;;0.75;4
3535;"No profession";0;"Baril de poudre des Nains";"Les ennemis qui vous entourent sont assommés et s'embrasent.";Signet;si;Core;;;;;;;;;
3536;"No profession";0;"Baril explosif";"Le contenu de ce baril est extrêmement volatil. Si le baril explose, il inflige 100 points de dégâts.";Spell;sp;Core;;;;;;;;;
3537;"No profession";0;"Base de protection";"Les membres du groupe infligent 50% de dégâts en plus et subissent 50% de dégâts en moins lorsqu'ils sont à portée de leur propre sanctuaire de résurrection.";"Effet de l'environnement";env;Core;;;;;;;;;
1147;"No profession";0;"Base Defense";"Skill. Target foe takes 999 damage, and is knocked down for 5 seconds.";Skill;sk;Factions;;;;;;5;;0.25;1
3538;"No profession";0;"Bataille de margonite";"Vous bénéficiez du double de XP en tuant des margonites et gagnez 2 points de Porteur de Lumière pour chaque margonite abattu.";Prime;pri;Nightfall;;;;;;;;;
1274;"No profession";0;"Battle Scars";"Stance. For 7 seconds, Shiro's attacks gain life stealing equal to the highest damage he takes while in this stance.";Stance;st;Factions;;;;;;;;;11
3539;"No profession";0;"Baume de guérison";"La brume revigorante est libérée lorsque vous la déposez. Le lanceur et toutes les créatures adjacentes récupèrent 300 points d'énergie.";Signet;si;Core;;;;;;;;;
1947;"No profession";0;"Bénédiction des Luxons";"Vous bénéficiez de +25 points de santé maximum et d'une régénération de santé de +3 points. Vous remportez des points de faction luxonne si vous chassez dans la zone. Les boss vous confèrent des points de faction supplémentaires.";Bénédiction;be;Factions;;;;;;;;;
2078;"No profession";0;Berserk;"Skill. For 10 seconds, all skills do double damage and randomly give the target one of the following conditions for 10 seconds: Cripple, Bleeding, Deep Wound, Weakness, or Dazed.";Skill;sk;"Eye of the North";;;;;;;3;0.25;15
2911;"No profession";0;"Bit Golem Breaker";"Spell. Launch a projectile that strikes target foe for 30 damage and inflicts a random condition for 15 seconds.";"Enchantment Spell";en;Nightfall;;;;;;;;0.75;3
2913;"No profession";0;"Bit Golem Crash";"Spell. All foes near the impact area suffer 250 damage and are knocked down.";Spell;sp;Nightfall;;;;;;;;;10
2914;"No profession";0;"Bit Golem Force";"Spell. All adjacent foes are struck for 150 damage.";Spell;sp;Nightfall;;;;;;;;1;5
2912;"No profession";0;"Bit Golem Rectifier";"Enchantment Spell. N.O.X. is healed for 10 Health every second.";"Enchantment Spell";en;Nightfall;;;;;1;;;3;30
2223;"No profession";0;"Black Powder Mine";"Trap. When Black Powder Mine is triggered, all nearby foes are struck for 20..30 damage, become Blinded, and begin Bleeding for 7..10 seconds. Black Powder Mine ends after 90 seconds. While activating this Skill, you are easily interrupted.";Trap;tr;"Eye of the North";"Deldrimor rank";del;;;;10;;2;20
1153;"No profession";0;"Blessing of the Kirin";"Enchantment Spell. For 30 seconds, the next time a nearby ally of this Kirin uses a skill, that ally is cured of Miasma and one condition.";"Enchantment Spell";en;Factions;;;;;;5;;2;15
482;"No profession";0;"Blessure profonde";"Lorsque vous êtes affecté par cette blessure, vos points de vie maximum sont réduits de 20% et les soins ont moins d'effet sur vous.";Condition;co;Core;;;;;;;;;
1863;"No profession";0;"Blinding Breath";"Skill. All adjacent foes are struck for 400 damage and are Blinded for 15 seconds.";Skill;sk;Nightfall;;;;;;10;;1;2
3540;"No profession";0;"Blocage du bagarreur";"Pendant 2 secondes, vous bloquez la prochaine attaque. Cette compétence prend fin si vous utilisez une compétence d'attaque. Vous ne pouvez pas utiliser cette compétence si vous êtes frappé de Stupeur.";Stance;st;"Eye of the North";;;;;;;;;4
1175;"No profession";0;"Blood of zu Heltzer";"Spell. Magical barriers put in place by a zu Heltzer family member are opened.";Spell;sp;Factions;;;;;;;;;10
2158;"No profession";0;"Bloodstone Slash";"Melee Attack. If this attack hits, it steals 75 Health.";"Melee Attack";me;Factions;;;;;;;;;
1016;"No profession";0;"Boule de neige";"Vous lancez une boule de neige qui se déplace lentement vers l'ennemi visé. Si l'attaque réussit, l'ennemi subit 50 points de dégâts.";Spell;sp;Core;;;;;;;;1;
3541;"No profession";0;"Braise infernale";"Si cette attaque réussit, elle inflige +30 points de dégâts et les conditions suivantes : Infirmité, Aveuglement, Saignement, Faiblesse, Armure brisée et Stupeur.";"Melee Attack";me;Core;;;;;;5;;;8
1132;"No profession";0;"Branches protectrices";"Pendant 20 minutes, vous avez +20 de bonus d'armure contre les dégâts élémentaires.";Bénédiction;be;Factions;;;;;;;;;
3542;"No profession";0;"Braqueur nain";"Vous gagnez 1 point de réputation auprès des Nains pour chaque créature que votre groupe tue dans cette zone. Toutes les 25 victimes, vous recevez un bonus aléatoire.";Prime;pri;"Eye of the North";;;;;;;;;
2215;"No profession";0;"Brawling Headbutt";"Skill. You headbutt target touched foe dealing 45..70 damage and knocking down that foe if it hits.";Skill;sk;"Eye of the North";"Deldrimor rank";del;;;;;7;0.75;
514;"No profession";0;"Breaking Charm";"Skill. Allows any non-pet animal to break a charm attempt";Skill;sk;Prophecies;;;;;;;;0.25;
2221;"No profession";0;"Breath of the Great Dwarf";"Spell. All party members are relieved of Burning and are healed for 50..60 Health.";Spell;sp;"Eye of the North";"Deldrimor rank";del;;;;10;;0.25;15
480;"No profession";0;Brûlure;"Vous perdez progressivement des points de vie lorsque vous êtes affecté par cette condition.";Condition;co;Core;;;;;;;;;
2164;"No profession";0;"Brume acérée";"La condensation de l'air gèle et crée des petits éclats scintillants. Dans cette zone, vous vous déplacez 33% moins vite.";"Effet de l'environnement";env;"Eye of the North";;;;;;;;;
511;"No profession";0;"Brutal Mauling";"Attack. Brutal Mauling";Attack;at;Prophecies;;;;;;;;4;
1864;"No profession";0;"Burning Breath";"Skill. Spit a burning projectile at target foe that strikes for 250 fire damage and sets that foe on fire for 5 seconds if it hits. This skill cannot be used on nearby foes.";Skill;sk;Nightfall;;;;;;5;;2;2
2344;"No profession";0;"Call of Destruction";"Skill. The Great Destroyer summons a group of Destroyers.";Skill;sk;"Eye of the North";;;;;;10;;2;60
1459;"No profession";0;"Call of Sacrifice";"Hex Spell. For 20 seconds or until target is at less than 20% Health, target foe loses 20 Health each second.";"Hex Spell";he;Nightfall;;;;;;5;;1;10
1454;"No profession";0;"Call to the Torment";"Skill. Creature kneels for 5 seconds and takes double damage. After 5 seconds, a duplicate of the creature is summoned to this location.";Skill;sk;Nightfall;;;;;;;;;20
3543;"No profession";0;"Cauchemar voilé";"Activer des compétences coûte 40% plus d'énergie.";"Effet de l'environnement";env;Nightfall;;;;;;;;;
3550;"No profession";0;"Chaînes d'asservissement";"Tant que ce sort est actif, des chaînes magiques vous mettent au service du Sommet de Pierre en tant qu'esclave.";"Enchantment Spell";en;Prophecies;;;;;;;;;
3502;"No profession";0;"Chaotic Power";"Lyssa's Blessing: you have +10..26 maximum Energy.";"Effet de l'environnement";env;Core;;;;;;;;;
2134;"No profession";0;"Charging Spirit";"Stance. Run 25% faster for 5 seconds. The next attack that successfully hits deal +50 damage, cause this skill to end, and all adjacent foes are knocked down.";Stance;st;"Eye of the North";;;;;;5;;;12
3519;"No profession";0;"Charm Animal";"Skill. Charm target animal. Once charmed, your animal companion will travel with you whenever you have Charm Animal equipped.";Skill;sk;"Eye of the North";;;;;;;;8;8
3545;"No profession";0;"Chasse au heket";"Vous bénéficiez du double de XP en tuant des hekets et gagnez 1...7 points de promotion des Lanciers du Soleil pour chaque heket abattu.";Prime;pri;Nightfall;;;;;;;;;
3546;"No profession";0;"Chasse au minotaure";"Vous bénéficiez du double de XP en tuant des minotaures et gagnez 1...7 points de promotion des Lanciers du Soleil pour chaque minotaure abattu.";Prime;pri;Nightfall;;;;;;;;;
3544;"No profession";0;"Chasse au Monolithe";"Vous bénéficiez du double de XP en tuant des monolithes et gagnez 2 points de Porteur de Lumière pour chaque monolithe abattu.";Prime;pri;Nightfall;;;;;;;;;
3547;"No profession";0;"Chasse au monstre";"Vous bénéficiez du double de XP en tuant des grandes bêtes et gagnez 1...7 points de promotion des Lanciers du Soleil pour chaque grande bête abattue.";Prime;pri;Nightfall;;;;;;;;;
3548;"No profession";0;"Chasse au monstre";"Vous bénéficiez du double de XP en tuant des plantes et gagnez 1...7 points de promotion des Lanciers du Soleil pour chaque plante abattue.";Prime;pri;Nightfall;;;;;;;;;
3549;"No profession";0;"Chasse de l'angoisse";"Vous bénéficiez du double de XP et gagnez 2 points de Porteur de Lumière pour chaque créature tuée dans le Domaine de l'angoisse.";Prime;pri;Nightfall;;;;;;;;;
596;"No profession";0;"Chimera of Intensity";"Enchantment Spell. Your skills recharge 50% faster, spells you cast cost 50% less Energy, and your movement speed is increased by 50%.";"Enchantment Spell";en;Prophecies;;;;;;5;;0.75;
1861;"No profession";0;"Choking Breath";"Skill. Target foe and all adjacent foes are interrupted.  Any interrupted foe who was casting a spell is knocked down for 4 seconds.";Skill;sk;Nightfall;;;;;;5;;1;1
516;"No profession";0;"Claim Resource";"Skill. (monster only)";Skill;sk;Core;;;;;;5;;;5
2361;"No profession";0;"Club of a Thousand Bears";"Melee Attack. If this attack hits, it deals +6..9 damage for each adjacent foe (maximum 60 damage). If target foe is non-human it is knocked down.";"Melee Attack";me;"Eye of the North";"Norn rank";nor;;;;5;;;12
1884;"No profession";0;"Consume Torment";"Skill. All conditions and hexes are removed from caster. For each condition or hex removed in this way, caster gains 300 Health.";Skill;sk;Nightfall;;;;;;;;0.75;7
874;"No profession";0;"Consuming Flames";"Melee Attack. Remove one enchantment from target touched foe. Do 400 fire damage split evenly among target foe and adjacent foes, gain life equal to the damage you did to one target.";"Melee Attack";me;"Eye of the North";;;;;;;;2;4
1304;"No profession";0;"Corail à pics";"Lorsque vous marchez sur le corail à pics, vos mouvements sont réduits de 10% et vous subissez 25 points de dégâts toutes les secondes durant lesquelles vous êtes en mouvement.";"Effet de l'environnement";env;Core;;;;;;;;;
1433;"No profession";0;"Corsair's Net";"Hex spell. Throw a net at target foe. On impact, all foes in the area move slower for 10 seconds. The net projectile flies at a quarter of the normal speed.";"Hex Spell";he;Nightfall;;;;;;10;;2;20
2910;"No profession";0;Countdown;"Skill. Starts charging sequence for the N.O.X.ion Buster";Skill;sk;Nightfall;;;;;;;;;15
512;"No profession";0;"Crippling Attack";"Attack. (monster only)";Attack;at;Core;;;;;;5;;;
534;"No profession";0;"Crystal Bonds";"Hex Spell. (monster only) Remove 1 enchantment from target. For 15 seconds, target foe is encased in Crystal Bonds. Targets movement is drastically reduced and target may not be the target of enchantments.";Spell;sp;Prophecies;;;;;;5;;0.75;8
533;"No profession";0;"Crystal Haze";"Hex Spell. (monster only) For 30 seconds, target foe and all nearby foes suffer from -1 Energy degeneration and suffer exhaustion whenever they use a skill that costs Energy.";Skill;sk;Prophecies;;;;;;5;;1;
2328;"No profession";0;"Crystal Shield";"Enchantment Spell. This creature conjures a shield that absorbs 250 damage.";"Enchantment Spell";en;"Eye of the North";;;;;;;;0.25;10
2329;"No profession";0;"Crystal Snare";"Hex Spell. For 10 seconds, you move 50% slower. If this Hex is not removed before it expires, you take 100 damage.";"Hex Spell";he;"Eye of the North";;;;;;;;0.5;5
3552;"No profession";0;"Dans la peau de l'ours";"Pendant 60 secondes, vous vous transformez en ours. Pendant ce temps, votre santé augmente de 250 et vos attaques infligent 25% de dégâts supplémentaires.";Form;fo;"Eye of the North";;;;;;10;;2;120
3553;"No profession";0;"Dans la peau du Loup";;Empty;em;"Eye of the North";;;;;;10;;;
3566;"No profession";0;"Décharge de sucre";"Pendant 2 minutes, vous vous déplacez 50% plus vite.";Effect;ef;Core;;;;;;;;;
3567;"No profession";0;"Décharge de sucre";"Pendant 5 minutes, vous vous déplacez 50% plus vite.";Effect;ef;Core;;;;;;;;;
2426;"No profession";0;"Decipher Inscriptions";"Skill. Applies extracted inscriptions to open a doorway.";Skill;sk;"Eye of the North";;;;;;;;5;
2228;"No profession";0;"Deft Strike";" Ranged Attack. If this attack hits, target foe takes 18..30 damage. If that foe has Cracked Armor, it begins Bleeding for 18..30 seconds.";"Ranged Attack";ra;"Eye of the North";"Ebon Vanguard rank";ebo;;;;5;;0.5;8
2904;"No profession";0;"Déguisement de la Fraternité de Jade";"Vous êtes déguisé en membre de la Fraternité de Jade.";Disguise;de;Factions;;;;;;;;;
1152;"No profession";0;"Demonic Agility";"Enchantment Spell. For 30 seconds, This demon creature has 100% chance to double strike when attacking in melee.";"Enchantment Spell";en;Factions;;;;;;5;;1;45
3554;"No profession";0;"Derviche de la Lame";"Pendant 20 minutes, votre caractéristique de Maîtrise de la faux est augmentée de 1 point.";Bénédiction;be;Factions;;;;;;;;;
3555;"No profession";0;"Derviche de la Terre";"Pendant 20 minutes, votre caractéristique de Prières de la Terre est augmentée de 1 point.";Bénédiction;be;Factions;;;;;;;;;
