"Skill ID";Profession;Elite;Name;Description;Type;"Type Code";Chapter;Attribute;"Attribute Code";Sacrifice;Exhaustion;"Energy regen";Energy;Adrenaline;Casting;Recharge
2677;"Pas de profession";0;"""A l'aide !""";;Vide;em;Core;;;;;;;;;
3500;"Pas de profession";0;"""A la mort !""";"Vous infligez 33% points de dégâts en plus mais vous possédez 33% de santé en moins.";Compétence;sk;Core;;;;;;;;0.25;
2354;"Pas de profession";0;"""Esquive ceci !""";"Pendant 12..20 secondes, votre prochaine attaque ne peux pas être bloquée et inflige +10..20 points de dégâts. ";Cri;sh;"Eye of the North";"Titre de Norn";nor;;;;;4;;
2353;"Pas de profession";0;"""Finissez-le !""";"Si la cible ennemie a moins de 50% de santé, elle subit 20..80 points de dégâts, a une Armure brisée et souffre de Blessure profonde pendant 5..20 secondes.";Cri;sh;"Eye of the North";"Titre de Norn";nor;;;;10;;;15
2355;"Pas de profession";0;"""Je suis le plus fort !""";"Vos 4..8 prochaines attaques infligent +10..20 points de dégâts en plus.";Cri;sh;"Eye of the North";"Titre de Norn";nor;;;;5;;;20
856;"Pas de profession";0;"""Kilroy Pierraille""";"Vos compétences se rechargent 50% plus vite. Les sorts que vous lancez consomment 50% d'énergie en moins. Lorsqu'il est lancé, ce sort supprime tous les maléfices des alliés de la zone.";Cri;sh;Prophéties;;;;;;;;;45
569;"Pas de profession";0;"""La victoire ou la mort !""";"Pendant 90 secondes, vous infligez 15% points de dégâts en plus";Compétence;sk;Core;;;;;;5;;0.25;
1010;"Pas de profession";0;"""Mmmmh, une glace à la neige !""";"Vous êtes soigné de 300 points de vie et toutes vos compétences sont désactivées pendant 10 secondes.";Cri;sh;Core;;;;;;;;;60
2216;"Pas de profession";0;"""Ne trébuche pas !""";"Pendant 3..5 secondes, les membres du groupe à portée de voix ne peuvent pas être assommés.";Cri;sh;"Eye of the North";"Titre de Deldrimor";del;;;;10;;;20
2217;"Pas de profession";0;"""Par le marteau d'Ural !""";"Pendant 30 secondes, tous les morts de votre groupe à portée de voix sont ressuscités avec l'intégralité de leurs points de vie et d'énergie. Les membres du groupes ressuscités infligent 25..33% de dégâts en plus. Une fois cet effet dissipé, les membres du groupe affectés meurent. Cette compétence n'engendre pas de handicap.";Cri;sh;"Eye of the North";"Titre de Deldrimor";del;;;;5;;;60
